"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放期別","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價年化現金殖利率","除權價","除權價年化股票殖利率","除權息年化合計殖利率","除息交易日","除權交易日","現金股利發放日"
="006208","富邦台50","04/10","187.3","+3.35","+1.82","25H2","半年","3.448","0","3.448","144.8","4.76","","0","4.76","'25/11/18","","'25/12/11"
"00625K","富邦上証+R","04/10","8.59","0","0","","無","0","0","0","","","","","","","",""
"00631L","元大台灣50正2","04/10","23.7","+0.89","+3.9","","無","0","0","0","","","","","","","",""
"00632R","元大台灣50反1","04/10","13.23","-0.24","-1.78","","無","0","0","0","","","","","","","",""
"00633L","富邦上証正2","04/10","48.26","+1.27","+2.7","","無","0","0","0","","","","","","","",""
"00634R","富邦上証反1","04/10","3.2","-0.06","-1.84","","無","0","0","0","","","","","","","",""
"00635U","期元大S&P黃金","04/10","50.1","+0.33","+0.66","","無","0","0","0","","","","","","","",""
="00636","國泰中國A50","04/10","27.48","+0.33","+1.22","","無","0","0","0","","","","","","","",""
"00636K","國泰中國A50+U","04/10","8.75","+0.16","+1.86","","無","0","0","0","","","","","","","",""
"00637L","元大滬深300正2","04/10","19.93","+0.53","+2.73","","無","0","0","0","","","","","","","",""
"00638R","元大滬深300反1","04/10","6.9","-0.11","-1.57","","無","0","0","0","","","","","","","",""
="00639","富邦深100","04/10","16.32","+0.38","+2.38","","無","0","0","0","","","","","","","",""
"00640L","富邦日本正2","04/10","92.55","+0.05","+0.05","","無","0","0","0","","","","","","","",""
"00641R","富邦日本反1","04/10","4.05","-0.01","-0.25","","無","0","0","0","","","","","","","",""
"00642U","期元大S&P石油","04/10","27.3","-0.12","-0.44","","無","0","0","0","","","","","","","",""
="00643","群益深証中小","04/10","18.56","+0.37","+2.03","","無","0","0","0","","","","","","","",""
"00643K","群益深証中小+R","04/10","3.9","0","0","","無","0","0","0","","","","","","","",""
="00645","富邦日本","04/10","52.8","+0.05","+0.09","","無","0","0","0","","","","","","","",""
="00646","元大S&P500","04/10","68.15","+0.5","+0.74","2025","年","0","0","0","","0","","0","0","","",""
"00647L","元大S&P500正2","04/10","113.15","+1.55","+1.39","","無","0","0","0","","","","","","","",""
"00648R","元大S&P500反1","04/10","4.39","-0.04","-0.9","","無","0","0","0","","","","","","","",""
"00650L","復華香港正2","04/10","17.57","+0.07","+0.4","","無","0","0","0","","","","","","","",""
"00651R","復華香港反1","04/10","5.22","-0.03","-0.57","","無","0","0","0","","","","","","","",""
="00652","富邦印度","04/10","33.95","+0.16","+0.47","","無","0","0","0","","","","","","","",""
"00653L","富邦印度正2","04/10","47.03","+0.6","+1.29","","無","0","0","0","","","","","","","",""
"00654R","富邦印度反1","04/10","6.79","-0.04","-0.59","","無","0","0","0","","","","","","","",""
"00655L","國泰中國A50正2","04/10","33.65","+0.98","+3","","無","0","0","0","","","","","","","",""
"00656R","國泰中國A50反1","04/10","6.1","-0.11","-1.77","","無","0","0","0","","","","","","","",""
="00657","國泰日經225","04/10","67.05","+1.1","+1.67","","無","0","0","0","","","","","","","",""
"00657K","國泰日經225+U","04/10","21.3","+0.44","+2.11","","無","0","0","0","","","","","","","",""
="00660","元大歐洲50","04/10","43.32","+0.64","+1.5","2025","年","0","0","0","","0","","0","0","","",""
